# Assembly name:  ARS-UCD1.2
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Isolate:  L1 Dominette 01449 registration number 42190680
# Sex:  female
# Taxid:          9913
# BioSample:      SAMN03145444
# BioProject:     PRJNA391427
# Submitter:      USDA ARS
# Date:           2018-04-11
# Synonyms:       bosTau9	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NKLS02
# Assembly method: Falcon v. FEB-2016
# Expected final version: yes
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_002263795.2
# RefSeq assembly accession: GCF_002263795.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002263805.2	GCF_002263805.1	Primary Assembly
## GCA_002263815.2	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM008168.2	=	NC_037328.1	Primary Assembly	158534110	chr1
Leftover_ScbfJmS_1021	unplaced-scaffold	na	na	NKLS02000054.1	=	NW_020190138.1	Primary Assembly	45543	chrUn_NW_020190138v1
Leftover_ScbfJmS_1022	unplaced-scaffold	na	na	NKLS02000055.1	=	NW_020190139.1	Primary Assembly	53653	chrUn_NW_020190139v1
Leftover_ScbfJmS_1023	unplaced-scaffold	na	na	NKLS02000056.1	=	NW_020190140.1	Primary Assembly	24548	chrUn_NW_020190140v1
Leftover_ScbfJmS_1024	unplaced-scaffold	na	na	NKLS02000057.1	=	NW_020190141.1	Primary Assembly	4909	chrUn_NW_020190141v1
Leftover_ScbfJmS_1025	unplaced-scaffold	na	na	NKLS02000058.1	=	NW_020190142.1	Primary Assembly	45933	chrUn_NW_020190142v1
Leftover_ScbfJmS_1027	unplaced-scaffold	na	na	NKLS02000059.1	=	NW_020190143.1	Primary Assembly	6180	chrUn_NW_020190143v1
Leftover_ScbfJmS_1028	unplaced-scaffold	na	na	NKLS02000060.1	=	NW_020190144.1	Primary Assembly	27093	chrUn_NW_020190144v1
Leftover_ScbfJmS_1029	unplaced-scaffold	na	na	NKLS02000061.1	=	NW_020190145.1	Primary Assembly	13249	chrUn_NW_020190145v1
Leftover_ScbfJmS_103	unplaced-scaffold	na	na	NKLS02000062.1	=	NW_020190146.1	Primary Assembly	7747	chrUn_NW_020190146v1
Leftover_ScbfJmS_1030	unplaced-scaffold	na	na	NKLS02000063.1	=	NW_020190147.1	Primary Assembly	15717	chrUn_NW_020190147v1
Leftover_ScbfJmS_1031	unplaced-scaffold	na	na	NKLS02000064.1	=	NW_020190148.1	Primary Assembly	35466	chrUn_NW_020190148v1
Leftover_ScbfJmS_1032	unplaced-scaffold	na	na	NKLS02000065.1	=	NW_020190149.1	Primary Assembly	5540	chrUn_NW_020190149v1
Leftover_ScbfJmS_1033	unplaced-scaffold	na	na	NKLS02000066.1	=	NW_020190150.1	Primary Assembly	54494	chrUn_NW_020190150v1
Leftover_ScbfJmS_1034	unplaced-scaffold	na	na	NKLS02000067.1	=	NW_020190151.1	Primary Assembly	12142	chrUn_NW_020190151v1
Leftover_ScbfJmS_1036	unplaced-scaffold	na	na	NKLS02000068.1	=	NW_020190152.1	Primary Assembly	15548	chrUn_NW_020190152v1
Leftover_ScbfJmS_1038	unplaced-scaffold	na	na	NKLS02000069.1	=	NW_020190153.1	Primary Assembly	15857	chrUn_NW_020190153v1
Leftover_ScbfJmS_1039	unplaced-scaffold	na	na	NKLS02000070.1	=	NW_020190154.1	Primary Assembly	10583	chrUn_NW_020190154v1
Leftover_ScbfJmS_104	unplaced-scaffold	na	na	NKLS02000071.1	=	NW_020190155.1	Primary Assembly	3505	chrUn_NW_020190155v1
Leftover_ScbfJmS_1040	unplaced-scaffold	na	na	NKLS02000072.1	=	NW_020190156.1	Primary Assembly	21688	chrUn_NW_020190156v1
Leftover_ScbfJmS_1041	unplaced-scaffold	na	na	NKLS02000073.1	=	NW_020190157.1	Primary Assembly	6380	chrUn_NW_020190157v1
Leftover_ScbfJmS_1044	unplaced-scaffold	na	na	NKLS02000074.1	=	NW_020190158.1	Primary Assembly	29111	chrUn_NW_020190158v1
Leftover_ScbfJmS_1045	unplaced-scaffold	na	na	NKLS02000075.1	=	NW_020190159.1	Primary Assembly	33409	chrUn_NW_020190159v1
Leftover_ScbfJmS_1046	unplaced-scaffold	na	na	NKLS02000076.1	=	NW_020190160.1	Primary Assembly	43690	chrUn_NW_020190160v1
Leftover_ScbfJmS_1047	unplaced-scaffold	na	na	NKLS02000077.1	=	NW_020190161.1	Primary Assembly	12027	chrUn_NW_020190161v1
Leftover_ScbfJmS_1049	unplaced-scaffold	na	na	NKLS02000078.1	=	NW_020190162.1	Primary Assembly	32587	chrUn_NW_020190162v1
Leftover_ScbfJmS_105	unplaced-scaffold	na	na	NKLS02000079.1	=	NW_020190163.1	Primary Assembly	28024	chrUn_NW_020190163v1
Leftover_ScbfJmS_1050	unplaced-scaffold	na	na	NKLS02000080.1	=	NW_020190164.1	Primary Assembly	27189	chrUn_NW_020190164v1
Leftover_ScbfJmS_1051	unplaced-scaffold	na	na	NKLS02000081.1	=	NW_020190165.1	Primary Assembly	48179	chrUn_NW_020190165v1
Leftover_ScbfJmS_1052	unplaced-scaffold	na	na	NKLS02000082.1	=	NW_020190166.1	Primary Assembly	90168	chrUn_NW_020190166v1
Leftover_ScbfJmS_1053	unplaced-scaffold	na	na	NKLS02000083.1	=	NW_020190167.1	Primary Assembly	21739	chrUn_NW_020190167v1
Leftover_ScbfJmS_1054	unplaced-scaffold	na	na	NKLS02000084.1	=	NW_020190168.1	Primary Assembly	31636	chrUn_NW_020190168v1
Leftover_ScbfJmS_1055	unplaced-scaffold	na	na	NKLS02000085.1	=	NW_020190169.1	Primary Assembly	26482	chrUn_NW_020190169v1
Leftover_ScbfJmS_1057	unplaced-scaffold	na	na	NKLS02000086.1	=	NW_020190170.1	Primary Assembly	31253	chrUn_NW_020190170v1
Leftover_ScbfJmS_1058	unplaced-scaffold	na	na	NKLS02000087.1	=	NW_020190171.1	Primary Assembly	48136	chrUn_NW_020190171v1
Leftover_ScbfJmS_106	unplaced-scaffold	na	na	NKLS02000088.1	=	NW_020190172.1	Primary Assembly	41138	chrUn_NW_020190172v1
Leftover_ScbfJmS_1060	unplaced-scaffold	na	na	NKLS02000089.1	=	NW_020190173.1	Primary Assembly	10750	chrUn_NW_020190173v1
Leftover_ScbfJmS_1061	unplaced-scaffold	na	na	NKLS02000090.1	=	NW_020190174.1	Primary Assembly	29406	chrUn_NW_020190174v1
Leftover_ScbfJmS_1063	unplaced-scaffold	na	na	NKLS02000091.1	=	NW_020190175.1	Primary Assembly	32450	chrUn_NW_020190175v1
Leftover_ScbfJmS_1065	unplaced-scaffold	na	na	NKLS02000092.1	=	NW_020190176.1	Primary Assembly	10715	chrUn_NW_020190176v1
Leftover_ScbfJmS_1066_1956	unplaced-scaffold	na	na	NKLS02000093.1	=	NW_020190177.1	Primary Assembly	13985	chrUn_NW_020190177v1
Leftover_ScbfJmS_1067	unplaced-scaffold	na	na	NKLS02000094.1	=	NW_020190178.1	Primary Assembly	5330	chrUn_NW_020190178v1
Leftover_ScbfJmS_1068	unplaced-scaffold	na	na	NKLS02000095.1	=	NW_020190179.1	Primary Assembly	23776	chrUn_NW_020190179v1
Leftover_ScbfJmS_1069	unplaced-scaffold	na	na	NKLS02000096.1	=	NW_020190180.1	Primary Assembly	32962	chrUn_NW_020190180v1
Leftover_ScbfJmS_107	unplaced-scaffold	na	na	NKLS02000097.1	=	NW_020190181.1	Primary Assembly	12563	chrUn_NW_020190181v1
Leftover_ScbfJmS_1070	unplaced-scaffold	na	na	NKLS02000098.1	=	NW_020190182.1	Primary Assembly	8909	chrUn_NW_020190182v1
Leftover_ScbfJmS_1072	unplaced-scaffold	na	na	NKLS02000099.1	=	NW_020190183.1	Primary Assembly	206749	chrUn_NW_020190183v1
Leftover_ScbfJmS_1073	unplaced-scaffold	na	na	NKLS02000100.1	=	NW_020190184.1	Primary Assembly	13294	chrUn_NW_020190184v1
Leftover_ScbfJmS_1074	unplaced-scaffold	na	na	NKLS02000101.1	=	NW_020190185.1	Primary Assembly	14243	chrUn_NW_020190185v1
Leftover_ScbfJmS_1075	unplaced-scaffold	na	na	NKLS02000102.1	=	NW_020190186.1	Primary Assembly	27171	chrUn_NW_020190186v1
Leftover_ScbfJmS_1076	unplaced-scaffold	na	na	NKLS02000103.1	=	NW_020190187.1	Primary Assembly	2555	chrUn_NW_020190187v1
Leftover_ScbfJmS_1077_1114	unplaced-scaffold	na	na	NKLS02000104.1	=	NW_020190188.1	Primary Assembly	20423	chrUn_NW_020190188v1
Leftover_ScbfJmS_1078	unplaced-scaffold	na	na	NKLS02000105.1	=	NW_020190189.1	Primary Assembly	42280	chrUn_NW_020190189v1
Leftover_ScbfJmS_1079	unplaced-scaffold	na	na	NKLS02000106.1	=	NW_020190190.1	Primary Assembly	33911	chrUn_NW_020190190v1
Leftover_ScbfJmS_108	unplaced-scaffold	na	na	NKLS02000107.1	=	NW_020190191.1	Primary Assembly	15614	chrUn_NW_020190191v1
Leftover_ScbfJmS_1080	unplaced-scaffold	na	na	NKLS02000108.1	=	NW_020190192.1	Primary Assembly	12048	chrUn_NW_020190192v1
Leftover_ScbfJmS_1081	unplaced-scaffold	na	na	NKLS02000109.1	=	NW_020190193.1	Primary Assembly	16597	chrUn_NW_020190193v1
Leftover_ScbfJmS_1082	unplaced-scaffold	na	na	NKLS02000110.1	=	NW_020190194.1	Primary Assembly	12446	chrUn_NW_020190194v1
Leftover_ScbfJmS_1083	unplaced-scaffold	na	na	NKLS02000111.1	=	NW_020190195.1	Primary Assembly	84718	chrUn_NW_020190195v1
Leftover_ScbfJmS_1084	unplaced-scaffold	na	na	NKLS02000112.1	=	NW_020190196.1	Primary Assembly	20441	chrUn_NW_020190196v1
Leftover_ScbfJmS_1085	unplaced-scaffold	na	na	NKLS02000113.1	=	NW_020190197.1	Primary Assembly	7532	chrUn_NW_020190197v1
Leftover_ScbfJmS_1086	unplaced-scaffold	na	na	NKLS02000114.1	=	NW_020190198.1	Primary Assembly	20158	chrUn_NW_020190198v1
Leftover_ScbfJmS_1087	unplaced-scaffold	na	na	NKLS02000115.1	=	NW_020190199.1	Primary Assembly	62399	chrUn_NW_020190199v1
Leftover_ScbfJmS_1088	unplaced-scaffold	na	na	NKLS02000116.1	=	NW_020190200.1	Primary Assembly	17508	chrUn_NW_020190200v1
Leftover_ScbfJmS_109	unplaced-scaffold	na	na	NKLS02000117.1	=	NW_020190201.1	Primary Assembly	10913	chrUn_NW_020190201v1
Leftover_ScbfJmS_1090	unplaced-scaffold	na	na	NKLS02000118.1	=	NW_020190202.1	Primary Assembly	24933	chrUn_NW_020190202v1
Leftover_ScbfJmS_1091	unplaced-scaffold	na	na	NKLS02000119.1	=	NW_020190203.1	Primary Assembly	218147	chrUn_NW_020190203v1
Leftover_ScbfJmS_1092	unplaced-scaffold	na	na	NKLS02000120.1	=	NW_020190204.1	Primary Assembly	5704	chrUn_NW_020190204v1
Leftover_ScbfJmS_1093_1481	unplaced-scaffold	na	na	NKLS02000121.1	=	NW_020190205.1	Primary Assembly	26050	chrUn_NW_020190205v1
Leftover_ScbfJmS_1094	unplaced-scaffold	na	na	NKLS02000122.1	=	NW_020190206.1	Primary Assembly	29613	chrUn_NW_020190206v1
Leftover_ScbfJmS_1095	unplaced-scaffold	na	na	NKLS02000123.1	=	NW_020190207.1	Primary Assembly	31160	chrUn_NW_020190207v1
Leftover_ScbfJmS_1096	unplaced-scaffold	na	na	NKLS02000124.1	=	NW_020190208.1	Primary Assembly	55637	chrUn_NW_020190208v1
Leftover_ScbfJmS_1097	unplaced-scaffold	na	na	NKLS02000125.1	=	NW_020190209.1	Primary Assembly	263909	chrUn_NW_020190209v1
Leftover_ScbfJmS_1098	unplaced-scaffold	na	na	NKLS02000126.1	=	NW_020190210.1	Primary Assembly	16031	chrUn_NW_020190210v1
Leftover_ScbfJmS_1099	unplaced-scaffold	na	na	NKLS02000127.1	=	NW_020190211.1	Primary Assembly	10864	chrUn_NW_020190211v1
Leftover_ScbfJmS_11	unplaced-scaffold	na	na	NKLS02000128.1	=	NW_020190212.1	Primary Assembly	9524	chrUn_NW_020190212v1
Leftover_ScbfJmS_1101	unplaced-scaffold	na	na	NKLS02000129.1	=	NW_020190213.1	Primary Assembly	11083	chrUn_NW_020190213v1
Leftover_ScbfJmS_1102	unplaced-scaffold	na	na	NKLS02000130.1	=	NW_020190214.1	Primary Assembly	27527	chrUn_NW_020190214v1
Leftover_ScbfJmS_1104	unplaced-scaffold	na	na	NKLS02000131.1	=	NW_020190215.1	Primary Assembly	27522	chrUn_NW_020190215v1
Leftover_ScbfJmS_1105_2087	unplaced-scaffold	na	na	NKLS02000132.1	=	NW_020190216.1	Primary Assembly	15318	chrUn_NW_020190216v1
Leftover_ScbfJmS_1106	unplaced-scaffold	na	na	NKLS02000133.1	=	NW_020190217.1	Primary Assembly	11363	chrUn_NW_020190217v1
Leftover_ScbfJmS_1107_221	unplaced-scaffold	na	na	NKLS02000134.1	=	NW_020190218.1	Primary Assembly	36989	chrUn_NW_020190218v1
Leftover_ScbfJmS_1108	unplaced-scaffold	na	na	NKLS02000135.1	=	NW_020190219.1	Primary Assembly	40823	chrUn_NW_020190219v1
Leftover_ScbfJmS_1109	unplaced-scaffold	na	na	NKLS02000136.1	=	NW_020190220.1	Primary Assembly	15228	chrUn_NW_020190220v1
Leftover_ScbfJmS_111	unplaced-scaffold	na	na	NKLS02000137.1	=	NW_020190221.1	Primary Assembly	26379	chrUn_NW_020190221v1
Leftover_ScbfJmS_1111	unplaced-scaffold	na	na	NKLS02000138.1	=	NW_020190222.1	Primary Assembly	32144	chrUn_NW_020190222v1
Leftover_ScbfJmS_1112	unplaced-scaffold	na	na	NKLS02000139.1	=	NW_020190223.1	Primary Assembly	32437	chrUn_NW_020190223v1
Leftover_ScbfJmS_1113	unplaced-scaffold	na	na	NKLS02000140.1	=	NW_020190224.1	Primary Assembly	24536	chrUn_NW_020190224v1
Leftover_ScbfJmS_1115	unplaced-scaffold	na	na	NKLS02000141.1	=	NW_020190225.1	Primary Assembly	62587	chrUn_NW_020190225v1
Leftover_ScbfJmS_1116	unplaced-scaffold	na	na	NKLS02000142.1	=	NW_020190226.1	Primary Assembly	14887	chrUn_NW_020190226v1
Leftover_ScbfJmS_1117	unplaced-scaffold	na	na	NKLS02000143.1	=	NW_020190227.1	Primary Assembly	14671	chrUn_NW_020190227v1
Leftover_ScbfJmS_1118	unplaced-scaffold	na	na	NKLS02000144.1	=	NW_020190228.1	Primary Assembly	35617	chrUn_NW_020190228v1
Leftover_ScbfJmS_1119	unplaced-scaffold	na	na	NKLS02000145.1	=	NW_020190229.1	Primary Assembly	16978	chrUn_NW_020190229v1
Leftover_ScbfJmS_112	unplaced-scaffold	na	na	NKLS02000146.1	=	NW_020190230.1	Primary Assembly	9720	chrUn_NW_020190230v1
Leftover_ScbfJmS_1120	unplaced-scaffold	na	na	NKLS02000147.1	=	NW_020190231.1	Primary Assembly	101102	chrUn_NW_020190231v1
Leftover_ScbfJmS_1122	unplaced-scaffold	na	na	NKLS02000148.1	=	NW_020190232.1	Primary Assembly	27309	chrUn_NW_020190232v1
Leftover_ScbfJmS_1124	unplaced-scaffold	na	na	NKLS02000149.1	=	NW_020190233.1	Primary Assembly	16440	chrUn_NW_020190233v1
Leftover_ScbfJmS_1125	unplaced-scaffold	na	na	NKLS02000150.1	=	NW_020190234.1	Primary Assembly	39062	chrUn_NW_020190234v1
Leftover_ScbfJmS_1126	unplaced-scaffold	na	na	NKLS02000151.1	=	NW_020190235.1	Primary Assembly	22682	chrUn_NW_020190235v1
Leftover_ScbfJmS_1127	unplaced-scaffold	na	na	NKLS02000152.1	=	NW_020190236.1	Primary Assembly	9078	chrUn_NW_020190236v1
Leftover_ScbfJmS_1129	unplaced-scaffold	na	na	NKLS02000153.1	=	NW_020190237.1	Primary Assembly	25763	chrUn_NW_020190237v1
Leftover_ScbfJmS_113	unplaced-scaffold	na	na	NKLS02000154.1	=	NW_020190238.1	Primary Assembly	10568	chrUn_NW_020190238v1
Leftover_ScbfJmS_1130	unplaced-scaffold	na	na	NKLS02000155.1	=	NW_020190239.1	Primary Assembly	25249	chrUn_NW_020190239v1
Leftover_ScbfJmS_1131	unplaced-scaffold	na	na	NKLS02000156.1	=	NW_020190240.1	Primary Assembly	203984	chrUn_NW_020190240v1
Leftover_ScbfJmS_1132	unplaced-scaffold	na	na	NKLS02000157.1	=	NW_020190241.1	Primary Assembly	69979	chrUn_NW_020190241v1
Leftover_ScbfJmS_1133	unplaced-scaffold	na	na	NKLS02000158.1	=	NW_020190242.1	Primary Assembly	16925	chrUn_NW_020190242v1
Leftover_ScbfJmS_1134	unplaced-scaffold	na	na	NKLS02000159.1	=	NW_020190243.1	Primary Assembly	13857	chrUn_NW_020190243v1
Leftover_ScbfJmS_1135	unplaced-scaffold	na	na	NKLS02000160.1	=	NW_020190244.1	Primary Assembly	48936	chrUn_NW_020190244v1
Leftover_ScbfJmS_1136	unplaced-scaffold	na	na	NKLS02000161.1	=	NW_020190245.1	Primary Assembly	50247	chrUn_NW_020190245v1
Leftover_ScbfJmS_1137	unplaced-scaffold	na	na	NKLS02000162.1	=	NW_020190246.1	Primary Assembly	20629	chrUn_NW_020190246v1
Leftover_ScbfJmS_1139	unplaced-scaffold	na	na	NKLS02000163.1	=	NW_020190247.1	Primary Assembly	25893	chrUn_NW_020190247v1
Leftover_ScbfJmS_114	unplaced-scaffold	na	na	NKLS02000164.1	=	NW_020190248.1	Primary Assembly	19723	chrUn_NW_020190248v1
Leftover_ScbfJmS_1140	unplaced-scaffold	na	na	NKLS02000165.1	=	NW_020190249.1	Primary Assembly	76253	chrUn_NW_020190249v1
Leftover_ScbfJmS_1141	unplaced-scaffold	na	na	NKLS02000166.1	=	NW_020190250.1	Primary Assembly	30250	chrUn_NW_020190250v1
Leftover_ScbfJmS_1142	unplaced-scaffold	na	na	NKLS02000167.1	=	NW_020190251.1	Primary Assembly	19243	chrUn_NW_020190251v1
Leftover_ScbfJmS_1143	unplaced-scaffold	na	na	NKLS02000168.1	=	NW_020190252.1	Primary Assembly	9142	chrUn_NW_020190252v1
Leftover_ScbfJmS_1144	unplaced-scaffold	na	na	NKLS02000169.1	=	NW_020190253.1	Primary Assembly	8683	chrUn_NW_020190253v1
Leftover_ScbfJmS_1145	unplaced-scaffold	na	na	NKLS02000170.1	=	NW_020190254.1	Primary Assembly	24836	chrUn_NW_020190254v1
Leftover_ScbfJmS_1146	unplaced-scaffold	na	na	NKLS02000171.1	=	NW_020190255.1	Primary Assembly	42892	chrUn_NW_020190255v1
Leftover_ScbfJmS_1147	unplaced-scaffold	na	na	NKLS02000172.1	=	NW_020190256.1	Primary Assembly	89536	chrUn_NW_020190256v1
Leftover_ScbfJmS_1148	unplaced-scaffold	na	na	NKLS02000173.1	=	NW_020190257.1	Primary Assembly	56911	chrUn_NW_020190257v1
Leftover_ScbfJmS_1149	unplaced-scaffold	na	na	NKLS02000174.1	=	NW_020190258.1	Primary Assembly	14257	chrUn_NW_020190258v1
Leftover_ScbfJmS_115	unplaced-scaffold	na	na	NKLS02000175.1	=	NW_020190259.1	Primary Assembly	23742	chrUn_NW_020190259v1
Leftover_ScbfJmS_1150	unplaced-scaffold	na	na	NKLS02000176.1	=	NW_020190260.1	Primary Assembly	15693	chrUn_NW_020190260v1
